epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kdcls_loss,train/kddfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/kdcls_loss,val/kddfl_loss,lr/pg0,lr/pg1,lr/pg2
91,13855.8,0.90444,0.93186,1.27378,0.68137,31.5683,0.56665,0.44122,0.44973,0.30143,1.37994,2.27602,1.65672,1.23544,65.8984,7.7826e-05,7.7826e-05,7.7826e-05
92,13999,0.89584,0.91914,1.27034,0.66502,30.3656,0.5482,0.45277,0.45104,0.30129,1.3767,2.2892,1.65818,1.23846,64.7422,7.07574e-05,7.07574e-05,7.07574e-05
93,14136.2,0.89719,0.91301,1.26739,0.6617,29.2642,0.61506,0.41066,0.45439,0.30384,1.37907,2.27971,1.6577,1.24697,65.1038,6.36888e-05,6.36888e-05,6.36888e-05
94,14275.8,0.89999,0.91043,1.26953,0.64533,29.2064,0.62722,0.41272,0.45582,0.30587,1.37542,2.27033,1.65138,1.2729,66.2935,5.66202e-05,5.66202e-05,5.66202e-05
95,14416.5,0.89156,0.90685,1.25819,0.62759,28.2586,0.60057,0.41934,0.45459,0.30546,1.37376,2.27343,1.65431,1.25133,65.0435,4.95516e-05,4.95516e-05,4.95516e-05
96,14556.6,0.89062,0.89565,1.26348,0.62233,27.9573,0.54688,0.4541,0.45335,0.30439,1.37609,2.27229,1.65659,1.26142,65.1038,4.2483e-05,4.2483e-05,4.2483e-05
97,14695.5,0.88793,0.89282,1.26723,0.62236,27.674,0.58559,0.43259,0.45381,0.30488,1.38028,2.30157,1.66114,1.21899,63.6083,3.54144e-05,3.54144e-05,3.54144e-05
98,14836.4,0.89238,0.88479,1.26604,0.61227,27.209,0.604,0.43566,0.4568,0.30698,1.37764,2.29868,1.65898,1.21725,63.4821,2.83458e-05,2.83458e-05,2.83458e-05
99,14976.1,0.89057,0.89126,1.2651,0.61061,27.5054,0.60729,0.43618,0.45857,0.30744,1.37812,2.28072,1.66003,1.24187,63.5,2.12772e-05,2.12772e-05,2.12772e-05
100,15115.5,0.88825,0.88617,1.26163,0.60743,26.5802,0.60186,0.43732,0.45929,0.30843,1.3765,2.28178,1.65748,1.23718,63.2199,1.42086e-05,1.42086e-05,1.42086e-05
